# Error as function of iteration number for Sphere, Ackley, and Rastrigin functions
# Dimension:	4
# Particles:	50
# Inertia:	0.4
# C_1:	0.9
# C_2:	2
Iterations,Sphere_error,Rastrigin_error,Ackley_error,
100,1.63392e-12,0.99496,1.43736e-06,
200,2.91079e-26,1.98992,9.28146e-14,
400,2.73593e-57,0,4.44089e-16,
800,9.42916e-113,0.994959,4.44089e-16,
1600,4.53208e-240,0.994959,4.44089e-16,
3200,0,1.98992,4.44089e-16,
6400,0,0.994959,4.44089e-16,
12800,0,0,4.44089e-16,
25600,0,0.994959,4.44089e-16,
51200,0,0.994959,4.44089e-16,
