# Error as function of iteration number for Sphere, Ackley, and Rastrigin functions
# Dimension: 6
# Particles: 6000
# Inertia: 0.6571
# C_1: 1.6319
# C_2: 0.6239
Iterations,Sphere_serial,Rastrigin_serial,Ackley_serial,Sphere_parallel,Rastrigin_parllel,Ackley_parallel
0,811.969,27.2739,10.1691,160.235,23.418,10.7989
1,477.515,23.4623,8.42797,160.235,15.7057,10.7989
2,258.714,12.7436,8.39762,160.235,12.9217,8.98572
3,184.955,12.7436,7.24455,150.733,12.3473,6.68865
4,106.397,11.0747,6.1009,49.0672,8.67341,4.25897
5,67.0103,11.0747,5.11411,49.0672,8.67341,4.25897
6,39.6633,7.45754,4.79909,33.0826,8.67341,4.25897
7,39.6633,5.5947,2.65767,33.0826,8.67341,3.38962
8,12.3868,5.5947,2.65767,15.4322,8.67341,3.38962
9,12.3868,5.5947,2.65767,8.41252,8.67341,3.38962
10,2.41083,5.5947,1.73165,8.41252,8.67341,2.84291
11,2.17897,5.52344,1.73165,2.95578,8.67341,2.10092
12,2.17897,5.52344,1.73165,1.71629,8.67341,2.10092
13,1.40262,3.4551,1.53719,1.46088,7.65823,1.21742
14,0.621377,2.76458,0.807595,1.06693,7.65823,1.19496
15,0.621377,2.76458,0.807595,0.372601,7.65823,1.19496
16,0.398946,2.57396,0.51117,0.118868,6.09769,0.805063
17,0.186832,2.34994,0.51117,0.118868,6.09769,0.334704
18,0.0957593,0.988109,0.20649,0.118868,6.09769,0.291386
19,0.0416565,0.988109,0.20649,0.0461205,6.09769,0.224485
20,0.0416565,0.933555,0.156341,0.0461205,6.09769,0.21781
21,0.0416565,0.738419,0.152495,0.039905,6.09769,0.150972
22,0.0152276,0.635961,0.0985143,0.039905,2.54932,0.106044
23,0.0152276,0.635961,0.0985143,0.0243026,2.54932,0.0627273
24,0.0140575,0.17384,0.0493817,0.00668103,2.54932,0.0627273
25,0.00387735,0.0601037,0.0493817,0.00668103,2.54932,0.0474278
26,0.00387735,0.0601037,0.0410544,0.00668103,2.54932,0.0474278
27,0.00192924,0.0601037,0.0235267,0.00260867,2.54932,0.0326481
28,0.00192924,0.0601037,0.0235267,0.00260867,2.54932,0.0315609
29,0.00168549,0.0601037,0.0143484,0.0013435,0.547337,0.0266316
30,0.00075377,0.0221101,0.0129593,0.0013435,0.547337,0.0108314
31,0.000165416,0.0221101,0.0115555,0.00109011,0.547337,0.0108314
32,0.000158808,0.00682051,0.0115555,0.000660842,0.547337,0.0104305
33,0.000158808,0.00598704,0.00623544,0.000287015,0.235758,0.0104305
34,0.000158808,0.00598704,0.00566934,0.000244341,0.235758,0.00947851
35,9.36272e-05,0.00396708,0.00272455,0.000163947,0.235758,0.00650934
36,5.70868e-05,0.00295192,0.00272455,6.83209e-05,0.0639659,0.00381362
37,2.9669e-05,0.0023646,0.00257055,2.20474e-05,0.0639659,0.00372453
38,2.9669e-05,0.000853678,0.00179058,2.20474e-05,0.0639659,0.00255521
39,1.22953e-05,0.000853678,0.00174229,2.20474e-05,0.0639659,0.00226376
40,8.14005e-06,0.000254092,0.00111822,1.54067e-05,0.0639659,0.00185998
41,4.20659e-06,0.000254092,0.00111822,7.49912e-06,0.0639659,0.00185998
42,3.12563e-06,0.000254092,0.000772456,4.32741e-06,0.0639659,0.00185998
43,2.5192e-06,0.000254092,0.000772456,4.32741e-06,0.0433062,0.000906574
44,1.77751e-06,0.00013646,0.000596333,9.65806e-07,0.0221587,0.000906574
45,1.47352e-06,8.40442e-05,0.000536746,9.65806e-07,0.0221587,0.000606591
46,6.12162e-07,4.24988e-05,0.000400496,4.96401e-07,0.00947423,0.000606591
47,4.78736e-07,3.11458e-05,0.000331772,4.96401e-07,0.00947423,0.000477994
48,2.71121e-07,2.07559e-05,0.000281715,4.96401e-07,0.00947423,0.000395844
49,2.48213e-07,2.0121e-05,7.75296e-05,2.74323e-07,0.00856276,0.000395844
50,2.48213e-07,1.3137e-05,7.75296e-05,2.74323e-07,0.00267479,0.000328725
51,8.74653e-08,1.3137e-05,7.75296e-05,1.52633e-07,0.00267479,0.000276082
52,5.67503e-08,9.39588e-06,7.75296e-05,9.78924e-08,0.00267479,0.000202395
53,5.67503e-08,6.02635e-06,7.75296e-05,6.805e-08,0.00267479,0.000202395
54,3.83365e-08,4.93771e-06,6.70756e-05,6.805e-08,0.00127972,0.000191248
55,2.30473e-09,2.48958e-06,4.17173e-05,3.74193e-08,0.00118989,0.000173508
56,2.30473e-09,9.70304e-07,4.17173e-05,1.50634e-08,0.000805174,8.40062e-05
57,2.30473e-09,6.75024e-07,4.17173e-05,1.50634e-08,0.000805174,8.40062e-05
58,2.30473e-09,2.70391e-07,4.16356e-05,6.92387e-09,0.000550844,8.40062e-05
59,2.30473e-09,2.70391e-07,2.30947e-05,6.92387e-09,0.000550844,5.72004e-05
60,2.30473e-09,1.61802e-07,2.26329e-05,3.55608e-09,0.000490284,2.86089e-05
61,2.06821e-09,1.61802e-07,1.58235e-05,2.96095e-09,0.000353047,2.86089e-05
62,9.32988e-10,9.42814e-08,1.49201e-05,1.13761e-09,0.000224977,2.86089e-05
63,5.01394e-10,6.35937e-08,1.45022e-05,1.13761e-09,7.42218e-05,2.86089e-05
64,3.66355e-10,5.9658e-08,5.53185e-06,1.13761e-09,6.16513e-05,1.59316e-05
65,2.17235e-10,1.45324e-08,5.53185e-06,1.13761e-09,6.16513e-05,1.59316e-05
66,1.53112e-10,1.45324e-08,4.56294e-06,8.21103e-10,6.16513e-05,1.19748e-05
67,1.20456e-10,1.45324e-08,4.56294e-06,6.29029e-10,4.43683e-05,9.73645e-06
68,4.63314e-11,1.45324e-08,3.3043e-06,2.06565e-10,1.24785e-05,9.73645e-06
69,4.63314e-11,1.17581e-08,3.3043e-06,1.2274e-10,1.24785e-05,7.05985e-06
70,4.04171e-11,1.92605e-09,2.9627e-06,1.07908e-10,1.03693e-05,6.56811e-06
71,2.56342e-11,1.92605e-09,1.91701e-06,4.00462e-11,1.03693e-05,6.56811e-06
72,9.72603e-12,1.92605e-09,1.28386e-06,4.00462e-11,1.03693e-05,3.45447e-06
73,9.72603e-12,1.92605e-09,1.10114e-06,4.00462e-11,8.22164e-06,3.26319e-06
74,9.72603e-12,1.02149e-09,8.15379e-07,2.54254e-11,5.01177e-06,3.26319e-06
75,2.36989e-12,1.02149e-09,7.9143e-07,1.96661e-11,2.34721e-06,2.11336e-06
76,2.36989e-12,7.41224e-10,4.85147e-07,1.59431e-11,2.34721e-06,2.11336e-06
77,1.58821e-12,1.08372e-10,4.35811e-07,1.01814e-11,7.88773e-07,1.29765e-06
78,1.28606e-12,1.08372e-10,3.81187e-07,3.4402e-12,7.88773e-07,1.08728e-06
79,8.53638e-13,6.91642e-11,2.8599e-07,3.4402e-12,7.88773e-07,1.08728e-06
80,5.76622e-13,6.91642e-11,2.8599e-07,2.023e-12,7.88773e-07,7.20708e-07
81,5.76622e-13,2.85496e-11,2.23009e-07,1.39712e-12,7.88773e-07,5.35616e-07
82,3.99294e-13,2.85496e-11,1.73702e-07,9.70966e-13,7.88773e-07,5.35616e-07
83,1.11457e-13,2.65175e-11,1.73702e-07,9.70966e-13,7.88773e-07,5.35616e-07
84,1.11457e-13,1.06724e-11,1.06017e-07,8.19126e-13,7.88773e-07,5.03041e-07
85,1.0921e-13,5.45697e-12,1.06017e-07,5.17398e-13,1.83859e-07,3.38964e-07
86,9.65025e-14,5.45697e-12,5.41762e-08,3.52055e-13,8.06908e-08,3.11699e-07
87,5.03062e-14,3.31113e-12,3.95516e-08,2.81637e-13,8.06908e-08,8.99343e-08
88,2.38947e-14,3.31113e-12,3.95516e-08,1.39424e-13,8.06908e-08,8.99343e-08
89,2.2229e-14,3.31113e-12,2.71678e-08,1.39424e-13,4.07528e-08,8.99343e-08
90,5.72655e-15,2.67164e-12,2.71678e-08,4.32388e-14,2.35636e-08,8.99343e-08
91,5.72655e-15,2.67164e-12,2.28999e-08,4.32388e-14,2.35636e-08,8.99343e-08
92,4.20197e-15,2.58638e-12,2.28999e-08,3.70113e-14,2.35636e-08,8.99343e-08
93,3.55371e-15,1.09424e-12,2.28999e-08,6.09872e-15,6.8184e-09,6.76652e-08
94,2.79645e-15,1.01608e-12,1.7116e-08,6.09872e-15,6.8184e-09,6.76652e-08
95,1.75958e-15,5.25802e-13,1.7116e-08,6.09872e-15,6.8184e-09,4.79176e-08
96,1.67353e-15,4.54747e-13,1.51162e-08,6.09872e-15,6.8184e-09,4.62125e-08
97,4.53422e-16,9.23706e-14,1.2811e-08,3.93745e-15,6.8184e-09,3.87524e-08
98,2.92058e-16,6.39488e-14,7.53015e-09,3.15364e-15,4.37282e-09,2.7112e-08
99,2.92058e-16,4.9738e-14,5.76993e-09,3.15364e-15,4.37282e-09,1.74336e-08
100,1.24903e-16,4.9738e-14,4.90064e-09,1.25075e-15,2.56512e-09,1.74336e-08
101,1.24903e-16,2.13163e-14,3.11373e-09,4.14148e-16,2.56512e-09,1.74336e-08
102,1.24903e-16,2.13163e-14,3.11373e-09,4.14148e-16,1.66365e-09,1.18976e-08
103,7.81484e-17,2.13163e-14,1.82229e-09,2.85573e-16,1.66365e-09,1.18976e-08
104,4.84276e-17,7.10543e-15,1.82229e-09,1.22242e-16,1.19589e-09,1.18976e-08
105,1.35649e-17,0,1.82229e-09,1.08174e-16,1.19589e-09,8.36262e-09
106,1.35649e-17,0,1.68378e-09,7.21742e-17,1.01458e-09,7.68495e-09
107,6.57857e-18,0,1.02835e-09,7.21742e-17,1.01458e-09,7.68495e-09
108,4.77322e-18,0,1.02835e-09,7.21742e-17,6.98407e-10,5.38862e-09
109,3.0605e-18,0,9.02723e-10,4.65042e-17,4.1122e-10,3.28631e-09
110,1.7454e-18,0,7.73699e-10,3.62914e-17,1.53356e-10,1.80351e-09
111,1.7454e-18,0,6.73907e-10,2.62441e-17,7.13669e-11,1.80351e-09
112,1.17946e-18,0,4.24745e-10,1.05414e-17,7.7307e-12,1.80351e-09
113,7.66489e-19,0,1.92227e-10,1.05414e-17,7.7307e-12,1.80351e-09
114,1.38439e-19,0,1.92227e-10,1.01539e-17,7.7307e-12,1.5064e-09
115,1.38439e-19,0,1.92227e-10,4.00025e-18,7.7307e-12,1.50126e-09
116,1.38439e-19,0,1.92227e-10,4.00025e-18,4.03588e-12,1.11963e-09
117,1.38439e-19,0,1.92227e-10,2.50307e-18,4.03588e-12,1.01809e-09
118,1.38439e-19,0,1.2659e-10,1.78879e-18,4.03588e-12,9.9342e-10
119,1.10231e-19,0,1.2659e-10,7.99178e-19,4.03588e-12,7.82222e-10
120,2.70637e-20,0,1.17428e-10,7.99178e-19,2.70006e-12,6.25377e-10
121,2.70637e-20,0,9.1255e-11,6.94063e-19,1.58451e-12,3.8726e-10
122,1.34378e-20,0,8.23484e-11,5.49303e-19,1.58451e-12,3.8726e-10
123,1.11929e-20,0,3.85931e-11,4.98367e-19,1.58451e-12,2.92271e-10
124,3.4272e-21,0,3.09512e-11,1.21001e-19,1.58451e-12,1.89019e-10
125,3.4272e-21,0,3.09512e-11,9.26904e-20,1.58451e-12,1.89019e-10
126,2.82804e-21,0,2.56826e-11,9.26904e-20,1.58451e-12,1.89019e-10
127,2.10155e-21,0,2.32028e-11,5.14928e-20,1.58451e-12,1.82432e-10
128,9.60146e-22,0,2.32028e-11,5.14928e-20,1.58451e-12,1.50138e-10
129,8.26139e-22,0,1.82467e-11,4.80756e-20,1.58451e-12,1.00691e-10
130,8.26139e-22,0,1.31024e-11,2.58828e-20,6.03961e-13,9.44738e-11
131,8.26139e-22,0,9.50351e-12,1.15957e-20,4.33431e-13,9.44738e-11
132,2.61028e-22,0,9.37206e-12,1.15957e-20,4.33431e-13,6.42402e-11
133,2.61028e-22,0,3.78009e-12,3.86567e-21,4.33431e-13,6.42402e-11
134,2.58513e-22,0,3.78009e-12,1.90145e-21,4.33431e-13,5.47189e-11
135,1.65507e-22,0,3.78009e-12,1.90145e-21,3.12639e-13,4.73896e-11
136,1.65507e-22,0,3.63798e-12,1.90145e-21,3.12639e-13,3.7236e-11
137,6.34939e-23,0,2.83507e-12,1.46496e-21,1.91847e-13,3.7236e-11
138,5.08353e-23,0,2.09965e-12,4.67152e-22,1.91847e-13,2.97682e-11
139,1.34033e-23,0,2.09965e-12,3.84465e-22,1.91847e-13,1.98135e-11
140,1.34033e-23,0,2.09965e-12,3.79288e-22,1.49214e-13,1.56284e-11
141,1.34033e-23,0,2.09965e-12,3.79288e-22,1.49214e-13,1.12976e-11
142,1.29021e-23,0,1.08002e-12,1.26796e-22,1.49214e-13,1.12976e-11
143,3.73452e-24,0,1.08002e-12,1.05547e-22,9.23706e-14,7.9261e-12
144,1.78034e-24,0,8.66862e-13,8.69338e-23,2.13163e-14,6.05027e-12
145,1.78034e-24,0,7.78044e-13,5.21406e-23,1.42109e-14,6.05027e-12
146,1.49906e-24,0,5.00933e-13,5.21406e-23,1.42109e-14,6.05027e-12
147,1.49906e-24,0,4.54747e-13,5.21406e-23,1.42109e-14,6.05027e-12
148,7.45749e-25,0,4.40536e-13,3.18959e-23,1.42109e-14,4.01101e-12
149,7.45749e-25,0,3.76588e-13,3.18959e-23,1.42109e-14,2.09965e-12
150,1.75864e-25,0,3.16192e-13,2.48771e-23,1.42109e-14,2.09965e-12
151,1.73904e-25,0,2.55795e-13,1.32203e-23,1.42109e-14,1.9611e-12
152,1.73904e-25,0,1.56319e-13,4.6094e-24,1.42109e-14,1.9611e-12
153,1.44154e-25,0,8.52651e-14,4.6094e-24,0,1.69109e-12
154,5.47821e-26,0,8.52651e-14,2.11204e-24,0,1.69109e-12
155,4.36687e-26,0,8.17124e-14,2.11204e-24,0,1.08358e-12
156,4.36687e-26,0,8.17124e-14,2.11204e-24,0,5.11591e-13
157,8.36433e-27,0,7.4607e-14,5.52547e-25,0,5.11591e-13
158,8.36433e-27,0,3.19744e-14,5.52547e-25,0,5.11591e-13
159,5.39953e-27,0,3.19744e-14,5.52547e-25,0,5.11591e-13
160,1.63018e-27,0,2.84217e-14,5.15824e-25,0,4.61853e-13
161,1.63018e-27,0,2.84217e-14,5.15824e-25,0,4.61853e-13
162,1.60465e-27,0,2.4869e-14,2.20841e-25,0,4.61853e-13
163,1.60465e-27,0,1.42109e-14,2.20841e-25,0,3.48166e-13
164,1.60465e-27,0,1.42109e-14,9.90714e-26,0,2.8777e-13
165,1.60465e-27,0,1.42109e-14,9.90714e-26,0,2.8777e-13
166,6.78932e-28,0,7.10543e-15,9.90714e-26,0,2.70006e-13
167,3.70219e-28,0,7.10543e-15,3.38834e-26,0,2.13163e-13
168,2.60945e-28,0,7.10543e-15,1.93521e-26,0,1.7053e-13
169,1.11826e-28,0,7.10543e-15,4.28736e-27,0,1.45661e-13
170,4.76043e-29,0,7.10543e-15,4.28736e-27,0,8.52651e-14
171,3.73793e-29,0,3.55271e-15,4.28736e-27,0,8.52651e-14
172,3.73793e-29,0,3.55271e-15,4.28736e-27,0,7.4607e-14
173,3.51296e-29,0,3.55271e-15,4.28736e-27,0,6.39488e-14
174,3.51296e-29,0,3.55271e-15,2.77291e-27,0,4.26326e-14
175,1.65068e-29,0,3.55271e-15,1.27728e-27,0,4.26326e-14
176,7.45489e-30,0,3.55271e-15,1.27728e-27,0,4.26326e-14
177,7.45489e-30,0,3.55271e-15,1.05799e-27,0,3.19744e-14
178,6.01074e-30,0,3.55271e-15,1.05799e-27,0,2.4869e-14
179,1.42704e-30,0,3.55271e-15,6.66974e-28,0,1.42109e-14
180,1.42704e-30,0,3.55271e-15,4.89724e-28,0,1.42109e-14
181,1.42704e-30,0,3.55271e-15,2.22061e-28,0,1.06581e-14
182,8.56314e-31,0,3.55271e-15,2.13763e-28,0,7.10543e-15
183,4.65122e-31,0,3.55271e-15,7.13925e-29,0,7.10543e-15
184,3.77842e-31,0,3.55271e-15,7.13925e-29,0,3.55271e-15
185,1.49143e-31,0,3.55271e-15,3.30896e-29,0,3.55271e-15
186,1.49143e-31,0,3.55271e-15,3.30896e-29,0,3.55271e-15
187,1.31291e-31,0,3.55271e-15,2.77824e-29,0,3.55271e-15
188,1.18968e-31,0,3.55271e-15,2.77824e-29,0,3.55271e-15
189,7.53421e-32,0,3.55271e-15,1.78969e-29,0,3.55271e-15
190,1.86348e-32,0,3.55271e-15,1.66369e-29,0,3.55271e-15
191,1.74471e-32,0,3.55271e-15,1.47475e-29,0,3.55271e-15
192,1.0844e-32,0,3.55271e-15,5.34694e-30,0,3.55271e-15
193,1.0844e-32,0,3.55271e-15,3.79606e-30,0,3.55271e-15
194,5.90601e-33,0,3.55271e-15,1.08388e-30,0,3.55271e-15
195,5.90601e-33,0,3.55271e-15,1.08388e-30,0,3.55271e-15
196,2.38822e-33,0,3.55271e-15,5.88897e-31,0,3.55271e-15
197,2.38822e-33,0,3.55271e-15,3.79731e-31,0,3.55271e-15
198,1.37027e-33,0,3.55271e-15,3.79731e-31,0,3.55271e-15
199,1.02696e-33,0,3.55271e-15,3.79731e-31,0,3.55271e-15
200,1.02696e-33,0,3.55271e-15,1.41241e-31,0,0
201,7.75648e-34,0,3.55271e-15,1.41241e-31,0,0
202,5.93131e-34,0,3.55271e-15,1.19499e-31,0,0
203,1.65703e-34,0,3.55271e-15,7.47129e-32,0,0
204,1.39468e-34,0,3.55271e-15,7.47129e-32,0,0
205,4.2124e-35,0,3.55271e-15,5.62509e-32,0,0
206,4.2124e-35,0,3.55271e-15,4.65097e-32,0,0
207,4.2124e-35,0,3.55271e-15,2.2004e-32,0,0
208,3.28857e-35,0,3.55271e-15,2.2004e-32,0,0
209,2.68752e-35,0,3.55271e-15,1.27855e-32,0,0
210,2.68752e-35,0,3.55271e-15,1.27855e-32,0,0
211,4.4928e-36,0,3.55271e-15,1.18469e-32,0,0
212,1.75966e-36,0,3.55271e-15,4.96432e-33,0,0
213,1.75966e-36,0,3.55271e-15,4.36299e-33,0,0
