# Execution time as function of the number of particles
# Function: Rastrigin
# Dimension: 6
# Iterations: 2000
# Inertia: 0.6571
# C_1: 1.6319
# C_2: 0.6239
Num_particles,Serial_time,Parallel_time,Speedup
1,2,3,0.666667
6,15,18,0.833333
11,30,12,2.5
16,36,17,2.11765
21,48,18,2.66667
26,60,26,2.30769
31,71,31,2.29032
36,83,32,2.59375
41,95,38,2.5
46,105,50,2.1
51,124,73,1.69863
56,128,50,2.56
61,141,58,2.43103
66,157,71,2.21127
71,172,79,2.17722
76,188,73,2.57534
81,258,125,2.064
86,248,94,2.6383
91,278,226,1.23009
96,311,582,0.534364
101,271,128,2.11719
106,263,143,1.83916
111,289,169,1.71006
116,307,119,2.57983
121,304,131,2.32061
126,297,139,2.13669
131,326,144,2.26389
136,332,153,2.16993
141,336,151,2.22517
146,354,190,1.86316
151,368,157,2.34395
156,377,173,2.17919
161,393,165,2.38182
166,397,170,2.33529
171,410,180,2.27778
176,451,163,2.76687
181,421,167,2.52096
186,436,155,2.8129
191,441,173,2.54913
196,453,154,2.94156
201,469,175,2.68
206,485,162,2.99383
211,492,181,2.71823
216,497,182,2.73077
221,535,187,2.86096
226,533,223,2.39013
231,528,262,2.01527
236,572,288,1.98611
241,567,211,2.6872
246,564,219,2.57534
251,691,206,3.35437
256,584,218,2.6789
261,602,209,2.88038
266,644,363,1.7741
271,663,480,1.38125
276,692,324,2.1358
281,684,343,1.99417
286,746,307,2.42997
291,714,316,2.25949
296,710,261,2.72031
301,728,342,2.12865
306,749,250,2.996
311,806,1483,0.543493
316,824,335,2.4597
321,772,318,2.42767
326,798,410,1.94634
331,805,603,1.33499
336,809,285,2.8386
341,833,402,2.07214
346,892,285,3.12982
351,867,380,2.28158
356,876,308,2.84416
361,926,408,2.26961
366,973,300,3.24333
371,903,395,2.28608
376,927,327,2.83486
381,918,323,2.84211
386,932,324,2.87654
391,951,403,2.3598
396,962,335,2.87164
401,999,375,2.664
406,989,316,3.12975
411,1009,383,2.63446
416,999,714,1.39916
421,1021,336,3.03869
426,996,412,2.41748
431,1053,376,2.80053
436,1066,355,3.00282
441,1068,374,2.85561
446,1078,385,2.8
451,1121,400,2.8025
456,1086,372,2.91935
461,1103,430,2.56512
466,1122,432,2.59722
471,1143,419,2.72792
476,1124,794,1.41562
481,1177,416,2.82933
486,1193,412,2.89563
491,1215,599,2.02838
496,1214,547,2.21938
501,1235,435,2.83908
506,1257,445,2.82472
511,1249,409,3.05379
516,1259,435,2.89425
521,1281,5525,0.231855
526,1492,760,1.96316
531,1349,511,2.63992
536,1314,490,2.68163
541,1304,449,2.90423
546,1323,678,1.95133
551,1369,471,2.90658
556,1337,516,2.59109
561,1367,465,2.93978
566,1352,485,2.78763
571,1414,850,1.66353
576,1478,502,2.94422
581,1394,478,2.91632
586,1417,483,2.93375
591,1718,656,2.6189
596,1689,1244,1.35772
