# Error as function of iteration number for Sphere, Ackley, and Rastrigin functions
# Dimension:	4
# Particles:	50
# Inertia:	0.4
# C_1:	0.9
# C_2:	2
Iterations,Sphere_error,Rastrigin_error,Ackley_error,
100,5.66827e-13,0.994997,1.5847e-06,
200,4.4805e-26,7.10543e-15,3.95239e-14,
400,1.2262e-56,3.97983,4.44089e-16,
800,3.8823e-116,0.994959,4.44089e-16,
1600,1.61102e-237,5.96975,4.44089e-16,
3200,0,0,4.44089e-16,
6400,0,0,4.44089e-16,
12800,0,0.994959,4.44089e-16,
25600,0,0,4.44089e-16,
51200,0,0.994959,4.44089e-16,
